Loan No.,Book Date,Loan Status,Product,Branch,Loan Amount,PN Amount,Term
1000216126,"October 05, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"450,000.00","592,248.00",24
1000216175,"October 12, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"320,000.00","463,932.00",36
1000216593,"November 22, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"308,000.00","476,568.00",36
1000216648,"November 23, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","117,648.00",12
1000216742,"November 29, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"900,000.00","1,025,100.00",12
1000216791,"December 01, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"340,000.00","447,480.00",24
1000217052,"December 17, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"350,000.00","393,228.00",12
1000217118,"December 20, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"367,000.00","538,776.00",36
1000217122,"December 20, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"660,000.00","833,520.00",24
1000217287,"December 28, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"572,000.00","901,488.00",48
1000215736,"September 07, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"375,000.00","553,212.00",36
1000215931,"September 21, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"655,000.00","999,072.00",36
1000215450,"August 18, 2021",CAN,CARS-SECOND HAND,TARLAC BRANCH,"400,000.00","526,440.00",24
1000215577,"August 25, 2021",POS,TRUCKS-SECOND HAND,PAMPANGA HUB,"643,000.00","707,304.00",12
1000215663,"August 31, 2021",CAN,CARS-SECOND HAND,PAMPANGA HUB,"550,000.00","898,512.00",48
1000215702,"September 01, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"250,000.00","332,832.00",24
1000215726,"September 03, 2021",CLS,NC-BPL,PAMPANGA HUB,"100,000.00","118,920.00",12
1000215824,"September 14, 2021",POS,TRUCKS-SECOND HAND,PAMPANGA HUB,"552,000.00","730,752.00",24
1000215850,"September 16, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","59,472.00",12
1000216022,"September 28, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","59,472.00",12
1000216044,"September 29, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"280,000.00","368,520.00",24
1000215436,"August 17, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"311,000.00","474,372.00",36
1000215467,"August 18, 2021",POS,NC-BPL,TARLAC BRANCH,"100,000.00","121,440.00",12
1000216135,"October 06, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"700,000.00","1,032,660.00",36
1000216358,"October 28, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"477,000.00","705,600.00",36
1000216566,"November 18, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"198,000.00","277,560.00",24
1000216851,"December 03, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"50,000.00","60,096.00",12
1000217278,"December 27, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"888,000.00","1,313,532.00",36
1000216830,"December 03, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"520,000.00","849,504.00",48
1000216879,"December 07, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"380,000.00","530,496.00",36
1000216914,"December 14, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"660,000.00","833,520.00",24
1000216097,"October 04, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"340,000.00","518,616.00",36
1000216527,"November 15, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"380,000.00","560,592.00",36
1000216538,"November 15, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","118,920.00",12
1000216754,"November 29, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"480,000.00","784,128.00",48
1000215878,"September 16, 2021",CLS,NC-BPL,NUEVA ECIJA HUB,"50,000.00","57,576.00",12
1000215907,"September 20, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","60,096.00",12
1000215911,"September 20, 2021",POS,NC-SALARY LOAN,HEAD OFFICE,"15,000.00","16,512.00",12
1000215117,"August 02, 2021",CLS,NC-BPL,PAMPANGA HUB,"100,000.00","110,712.00",6
1000215443,"August 18, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"220,000.00","324,576.00",36
1000215756,"September 08, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"500,000.00","737,604.00",36
1000215946,"September 22, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"75,000.00","91,080.00",12
1000215215,"August 06, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"50,000.00","59,472.00",12
1000215527,"August 24, 2021",CLS,NC-BPL,PAMPANGA HUB,"50,000.00","60,720.00",12
1000215590,"August 26, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"485,000.00","703,116.00",36
1000215955,"September 22, 2021",CAN,RE-RESIDENTIAL,NUEVA ECIJA HUB,"380,000.00","569,916.00",36
1000216074,"September 30, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","60,720.00",12
1000216085,"September 30, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"176,000.00","234,312.00",24
1000215145,"August 04, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"595,000.00","880,128.00",36
1000215378,"August 16, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"233,000.00","339,552.00",24
1000215808,"September 14, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"270,000.00","411,840.00",36
1000215832,"September 15, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"760,000.00","1,121,184.00",36
1000215886,"September 20, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"300,000.00","442,584.00",36
1000215894,"September 20, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","60,720.00",12
1000216061,"September 30, 2021",POS,NC-BPL,PAMPANGA HUB,"100,000.00","118,920.00",12
1000215187,"August 05, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"387,000.00","483,534.00",18
1000215192,"August 05, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"656,000.00","967,752.00",36
1000215245,"August 06, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"650,000.00","981,324.00",36
1000215559,"August 25, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"560,000.00","914,832.00",48
1000215849,"September 15, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"220,000.00","292,896.00",24
1000215962,"September 23, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"450,000.00","563,400.00",24
1000216007,"September 28, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"450,000.00","663,840.00",36
1000216010,"September 28, 2021",CLS,NC-BPL,NUEVA ECIJA HUB,"75,000.00","79,728.00",6
1000215125,"August 02, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","60,096.00",12
1000215154,"August 05, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"850,000.00","1,166,472.00",36
1000215342,"August 16, 2021",POS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","121,440.00",12
1000215745,"September 07, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"900,000.00","1,327,680.00",36
1000215973,"September 23, 2021",CLS,NC-BPL,NUEVA ECIJA HUB,"100,000.00","116,400.00",12
1000215226,"August 06, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","60,720.00",12
1000215288,"August 11, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"680,000.00","1,005,876.00",36
1000215323,"August 13, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"450,000.00","665,640.00",36
1000215401,"August 17, 2021",CAN,CARS-SECOND HAND,TARLAC BRANCH,"500,000.00","816,816.00",48
1000215716,"September 03, 2021",POS,NC-BPL,PAMPANGA HUB,"100,000.00","118,920.00",12
1000215794,"September 13, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"370,000.00","604,464.00",48
1000215813,"September 14, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"300,000.00","443,772.00",36
1000215923,"September 21, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"655,000.00","999,072.00",36
1000215999,"September 24, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"735,000.00","1,084,284.00",36
1000215293,"August 12, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"450,000.00","665,640.00",36
1000215386,"August 16, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"300,000.00","383,160.00",24
1000216039,"September 28, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","60,720.00",12
1000216053,"September 29, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"357,000.00","526,680.00",36
1000215351,"August 16, 2021",POS,NC-BPL,PAMPANGA HUB,"50,000.00","60,720.00",12
1000215361,"August 16, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"311,000.00","474,372.00",36
1000215533,"August 25, 2021",ROP,CARS-SECOND HAND,NUEVA ECIJA HUB,"200,000.00","280,368.00",24
1000215542,"August 25, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"320,000.00","463,932.00",36
1000215629,"August 27, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"162,000.00","215,688.00",24
1000215163,"August 05, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"850,000.00","1,060,992.00",24
1000215179,"August 05, 2021",CAN,CARS-SECOND HAND,TARLAC BRANCH,"410,000.00","594,396.00",36
1000215390,"August 17, 2021",POS,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"598,000.00","884,592.00",36
1000215413,"August 17, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"209,000.00","261,672.00",24
1000215425,"August 17, 2021",POS,CARS-SECOND HAND,NUEVA ECIJA HUB,"350,000.00","533,880.00",36
1000215479,"August 19, 2021",CAN,TRUCKS-SECOND HAND,NUEVA ECIJA HUB,"900,000.00","1,331,280.00",36
1000215487,"August 19, 2021",CAN,CARS-SECOND HAND,NUEVA ECIJA HUB,"209,000.00","261,672.00",24
1000215585,"August 26, 2021",CAN,CARS-SECOND HAND,TARLAC BRANCH,"440,000.00","649,116.00",36
1000215600,"August 26, 2021",CAN,CARS-SECOND HAND,TARLAC BRANCH,"650,000.00","1,061,856.00",48
1000215617,"August 26, 2021",POS,CARS-SECOND HAND,TARLAC BRANCH,"310,000.00","457,344.00",36
1000215634,"August 27, 2021",POS,CARS-SECOND HAND,PAMPANGA HUB,"420,000.00","619,596.00",36
