Transmittal ID,Transmittal Type,Employee From,Department From,Employee To,Department To,Transaction Date,Transaction Time,Received By
42,0,3,DEPT2,35,DEPT6,"January 15, 2021",1:45:59 pm,
42,1,3,DEPT2,35,DEPT6,"January 21, 2021",8:44:20 am,35
43,0,3,DEPT2,37,DEPT7,"January 15, 2021",2:07:20 pm,
43,1,3,DEPT2,37,DEPT7,"January 15, 2021",3:02:10 pm,37
43,2,37,DEPT7,20,DEPT2,"January 18, 2021",9:10:09 am,
43,1,37,DEPT7,20,DEPT2,"January 21, 2021",8:48:30 am,20
44,0,35,DEPT6,37,DEPT7,"January 15, 2021",3:10:14 pm,
44,1,35,DEPT6,37,DEPT7,"January 15, 2021",3:13:45 pm,37
44,3,35,DEPT6,37,DEPT7,"January 18, 2021",8:43:31 am,37
45,0,37,DEPT7,,DEPT6,"January 18, 2021",8:46:51 am,
45,1,37,DEPT7,,DEPT6,"January 18, 2021",11:37:20 am,35
46,0,37,DEPT7,,DEPT6,"January 18, 2021",8:47:55 am,
46,1,37,DEPT7,,DEPT6,"January 18, 2021",11:37:11 am,35
47,0,6,DEPT1,3,DEPT2,"January 18, 2021",8:49:48 am,
47,1,6,DEPT1,3,DEPT2,"January 18, 2021",8:50:32 am,3
48,0,17,DEPT4,15,DEPT6,"January 18, 2021",9:09:07 am,
48,1,17,DEPT4,15,DEPT6,"January 26, 2021",4:19:16 pm,15
49,0,36,DEPT6,20,DEPT2,"January 18, 2021",9:09:20 am,
49,1,36,DEPT6,20,DEPT2,"January 18, 2021",11:39:47 am,20
50,0,17,DEPT4,4,DEPT3,"January 18, 2021",9:16:40 am,
50,1,17,DEPT4,4,DEPT3,"January 18, 2021",9:19:42 am,4
52,0,17,DEPT4,,DEPT7,"January 18, 2021",9:34:24 am,
52,1,17,DEPT4,,DEPT7,"January 18, 2021",1:16:57 pm,37
52,2,37,DEPT7,36,DEPT6,"January 26, 2021",1:19:22 pm,
52,2,37,DEPT7,15,DEPT6,"January 26, 2021",4:13:39 pm,
52,1,37,DEPT7,15,DEPT6,"January 26, 2021",4:19:00 pm,15
62,0,10,DEPT4,6,DEPT1,"January 18, 2021",10:22:30 am,
62,1,10,DEPT4,6,DEPT1,"January 18, 2021",11:54:43 am,6
62,3,10,DEPT4,6,DEPT1,"February 04, 2021",10:52:53 am,6
63,0,4,DEPT3,2,DEPT1,"January 18, 2021",11:08:29 am,
63,1,4,DEPT3,2,DEPT1,"January 18, 2021",11:10:06 am,2
63,2,2,DEPT1,,DEPT6,"January 18, 2021",11:33:07 am,
63,1,2,DEPT1,,DEPT6,"January 18, 2021",11:38:13 am,35
66,0,31,DEPT5,2,DEPT1,"January 18, 2021",2:44:57 pm,
66,1,31,DEPT5,2,DEPT1,"January 18, 2021",2:47:03 pm,2
66,3,31,DEPT5,2,DEPT1,"February 01, 2021",1:54:59 pm,2
67,0,2,DEPT1,31,DEPT5,"January 18, 2021",3:44:04 pm,
67,1,2,DEPT1,31,DEPT5,"January 18, 2021",3:45:28 pm,31
68,0,35,DEPT6,37,DEPT7,"January 21, 2021",8:43:33 am,
68,1,35,DEPT6,37,DEPT7,"January 21, 2021",9:24:25 am,37
68,2,37,DEPT7,,DEPT6,"January 25, 2021",8:57:47 am,
68,1,37,DEPT7,,DEPT6,"January 25, 2021",9:37:24 am,28
69,0,35,DEPT6,37,DEPT7,"January 21, 2021",8:43:33 am,
69,1,35,DEPT6,37,DEPT7,"January 21, 2021",9:25:25 am,37
69,1,35,DEPT6,37,DEPT7,"January 21, 2021",9:25:26 am,37
69,2,37,DEPT7,,DEPT6,"January 25, 2021",8:57:28 am,
69,1,37,DEPT7,,DEPT6,"January 25, 2021",9:35:06 am,28
70,0,35,DEPT6,37,DEPT7,"January 21, 2021",8:43:34 am,
70,1,35,DEPT6,37,DEPT7,"January 21, 2021",9:27:36 am,37
70,2,37,DEPT7,,DEPT6,"January 25, 2021",8:58:09 am,
70,1,37,DEPT7,,DEPT6,"January 25, 2021",9:35:54 am,28
71,0,35,DEPT6,37,DEPT7,"January 21, 2021",8:43:34 am,
71,1,35,DEPT6,37,DEPT7,"January 21, 2021",9:28:18 am,37
71,2,37,DEPT7,,DEPT3,"January 25, 2021",8:51:16 am,
71,1,37,DEPT7,,DEPT3,"January 25, 2021",9:33:26 am,5
71,2,4,DEPT3,,DEPT1,"January 25, 2021",10:24:20 am,
71,1,4,DEPT3,,DEPT1,"January 25, 2021",10:25:27 am,2
71,3,4,DEPT3,,DEPT1,"January 25, 2021",10:26:04 am,2
72,0,35,DEPT6,37,DEPT7,"January 21, 2021",8:43:34 am,
72,1,35,DEPT6,37,DEPT7,"January 21, 2021",9:28:30 am,37
72,2,37,DEPT7,,DEPT3,"January 25, 2021",8:52:09 am,
72,1,37,DEPT7,,DEPT3,"January 25, 2021",9:35:00 am,8
73,0,20,DEPT2,37,DEPT7,"January 21, 2021",8:51:30 am,
73,1,20,DEPT2,37,DEPT7,"January 21, 2021",8:59:33 am,37
73,2,37,DEPT7,36,DEPT6,"January 26, 2021",1:18:54 pm,
73,2,37,DEPT7,20,DEPT2,"February 23, 2021",9:40:49 am,
73,1,37,DEPT7,20,DEPT2,"February 23, 2021",11:54:22 am,20
74,0,20,DEPT2,37,DEPT7,"January 21, 2021",8:51:30 am,
74,1,20,DEPT2,37,DEPT7,"January 21, 2021",9:00:15 am,37
74,2,37,DEPT7,36,DEPT6,"January 26, 2021",1:20:33 pm,
74,1,37,DEPT7,36,DEPT6,"January 26, 2021",1:22:26 pm,36
75,0,3,DEPT2,37,DEPT7,"January 21, 2021",8:53:47 am,
75,1,3,DEPT2,37,DEPT7,"January 21, 2021",9:00:55 am,37
75,2,37,DEPT7,36,DEPT6,"January 26, 2021",1:21:06 pm,
75,1,37,DEPT7,36,DEPT6,"January 26, 2021",1:22:33 pm,36
76,0,3,DEPT2,37,DEPT7,"January 21, 2021",8:53:47 am,
76,1,3,DEPT2,37,DEPT7,"January 21, 2021",9:01:33 am,37
76,2,37,DEPT7,36,DEPT6,"January 26, 2021",1:21:43 pm,
76,1,37,DEPT7,36,DEPT6,"January 26, 2021",1:22:40 pm,36
77,0,3,DEPT2,37,DEPT7,"January 21, 2021",8:53:47 am,
77,1,3,DEPT2,37,DEPT7,"January 21, 2021",9:02:05 am,37
77,2,37,DEPT7,,DEPT6,"January 26, 2021",1:22:25 pm,
77,1,37,DEPT7,,DEPT6,"January 26, 2021",1:22:47 pm,36
78,0,3,DEPT2,37,DEPT7,"January 21, 2021",8:53:47 am,
78,1,3,DEPT2,37,DEPT7,"January 21, 2021",9:02:42 am,37
78,2,37,DEPT7,20,DEPT2,"January 25, 2021",9:14:56 am,
78,1,37,DEPT7,20,DEPT2,"January 25, 2021",9:23:22 am,20
79,0,28,DEPT6,5,DEPT3,"January 21, 2021",9:02:32 am,
79,1,28,DEPT6,5,DEPT3,"January 21, 2021",9:06:31 am,5
